4.0047	1.047073	1.0
71.0839	0.734250	1.0
92.2231	0.930361	1.0
145.294	0.623742	1.0
179.203	1.147748	1.0
187.566	0.634656	1.0
212.049	0.635216	1.0
238.733	0.833908	1.0
247.794	0.724840	1.0
276.116	1.251500	1.0
323.27	0.530517	1.0
330.481	0.623471	1.0
386.145	0.521766	1.0
21.6083	0.626404	1.0
37.2137	0.937558	1.0
76.623	0.829048	1.0
105.997	0.737903	1.0
135.233	0.735020	1.0
152.68	0.937344	1.0
158.216	1.035473	1.0
221.286	0.831152	1.0
255.333	0.834325	1.0
302.436	0.531418	1.0
308.823	1.860240	1.0
349.437	0.529866	1.0
365.037	0.629278	1.0
373.422	0.427948	1.0
408.135	0.532193	1.0
