13.0684	0.833225	1.0
28.973	0.828389	1.0
54.9635	0.622555	1.0
62.0232	0.528326	1.0
121.454	0.530732	1.0
196.627	0.424151	1.0
203.688	0.629557	1.0
262.695	0.522603	1.0
269.905	0.529408	1.0
336.69	0.426743	1.0
342.05	0.519073	1.0
355.799	0.519065	1.0
378.785	0.731442	1.0
46.6022	0.832570	1.0
86.8602	0.524495	1.0
100.461	0.840719	1.0
113.385	0.416746	1.0
129.693	0.741727	1.0
164.602	0.632403	1.0
171.14	0.527974	1.0
229.671	0.429906	1.0
285.505	0.628995	1.0
293.898	0.419150	1.0
316.209	0.424950	1.0
395.533	0.833345	1.0
